Numero de reglas,C,Penalty,Solver,Iteraciones,Accuracy,Precision,Recall,F1 Score,Media,Tiempo
2,0.01,l2,saga,5000,0.88885,0.42703315386795127,0.8823185011709602,0.5755203360702692,0.6934304977772952,1.0469810962677002
2,0.1,l2,saga,5000,0.8888,0.42691218130311614,0.8823185011709602,0.5754104620084002,0.6933602861206192,1.465996503829956
2,0.5,l2,saga,5000,0.88865,0.4265496744975941,0.8823185011709602,0.575081091394772,0.6931498167658317,2.868624687194824
2,1.0,l2,saga,5000,0.8886,0.4264289756649689,0.8823185011709602,0.5749713849675696,0.6930797154508747,2.879852771759033
2,0.01,l2,saga,5000,0.94775,0.9559834938101788,0.4069086651053864,0.5708418891170431,0.7203710120081521,0.3986215591430664
2,0.1,l2,saga,5000,0.9577,0.9050751879699248,0.5638173302107728,0.6948051948051948,0.7803494282464731,0.3354358673095703
2,0.5,l2,saga,5000,0.9586,0.8852889667250438,0.59192037470726,0.7094736842105264,0.7863207564107075,0.9045250415802002
2,1.0,l2,saga,5000,0.9591,0.8823024054982818,0.6012880562060889,0.7151810584958217,0.7894678800500481,1.2290716171264648
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,0.9171164035797119
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,2.019947052001953
2,0.5,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.5599455833435059
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.487401008605957
2,0.01,l2,saga,5000,0.95875,0.8809318377911993,0.5977751756440282,0.7122427624694803,0.7874249439761769,0.35994863510131836
2,0.1,l2,saga,5000,0.95915,0.8672712283594394,0.6159250585480094,0.7203012666894899,0.7906618883992347,2.0459115505218506
2,0.5,l2,saga,5000,0.95905,0.8646431501230517,0.617096018735363,0.7201913221728733,0.790245122757822,4.611207485198975
2,1.0,l2,saga,5000,0.959,0.8639344262295082,0.617096018735363,0.7199453551912568,0.7899939500390321,9.84010124206543
2,0.01,l2,saga,5000,0.8902,0.43028571428571427,0.8817330210772834,0.5783410138248848,0.6951399372969705,0.8764140605926514
2,0.1,l2,saga,5000,0.8898,0.4292641186537364,0.8811475409836066,0.5772919064058305,0.6943758915107934,4.795893430709839
2,0.5,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,9.069600820541382
2,1.0,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,19.816921710968018
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,1.1238372325897217
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.188955545425415
2,0.5,l2,saga,5000,0.959,0.8633387888707038,0.6176814988290398,0.7201365187713311,0.7900392016177686,1.764096975326538
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.162494421005249
2,0.01,l2,saga,5000,0.94735,0.9542302357836339,0.4028103044496487,0.5664882667764513,0.7177197017524335,0.32188987731933594
2,0.1,l2,saga,5000,0.9564,0.8891992551210428,0.5591334894613583,0.6865564342199856,0.7728222947005967,0.34209322929382324
2,0.5,l2,saga,5000,0.9573,0.871304347826087,0.5866510538641686,0.7011896431070679,0.7791112611993308,0.640864372253418
2,1.0,l2,saga,5000,0.9574,0.8683304647160068,0.5907494145199064,0.7031358885017421,0.7799039419344138,1.0029067993164062
2,0.01,l2,saga,5000,0.8933,0.43731606827545616,0.870023419203747,0.582060321190756,0.6956749521674899,0.7106204032897949
2,0.1,l2,saga,5000,0.89655,0.4461676110945422,0.8758782201405152,0.5911875123493381,0.7024458358960989,0.7772552967071533
2,0.5,l2,saga,5000,0.89625,0.44527288994929914,0.8741217798594848,0.5900019758940921,0.701411661425719,1.3905422687530518
2,1.0,l2,saga,5000,0.8961,0.44487485101311086,0.8741217798594848,0.589652448657188,0.7011872698824458,2.389564037322998
2,0.01,l2,saga,5000,0.9585,0.8745733788395904,0.6001170960187353,0.7118055555555556,0.7862490076034703,0.8219804763793945
2,0.1,l2,saga,5000,0.9589,0.8631147540983607,0.6165105386416861,0.7192622950819673,0.7894468969555035,1.1672160625457764
